Company,Country,Industry,Year,Rank,Revenue,Profits,Assets,Employees
Walmart,U.S.,General Merchandisers,2024,1,648125.0,15511.0,252399.0,"2,100,000"
Amazon,U.S.,Internet Services and Retailing,2024,2,574785.0,30425.0,527854.0,"1,525,000"
State Grid,China,Utilities,2024,3,545947.5,9204.3,781126.2,"1,361,423"
Saudi Aramco,Saudi Arabia,"Mining, Crude-Oil Production",2024,4,494890.1,120699.3,660819.2,"73,311"
Sinopec Group,China,Petroleum Refining,2024,5,429699.7,9393.4,382688.0,"513,434"
China National Petroleum,China,Petroleum Refining,2024,6,421713.6,21294.7,630562.0,"1,026,301"
Apple,U.S.,"Computers, Office Equipment",2024,7,383285.0,96995.0,352583.0,"161,000"
UnitedHealth Group,U.S.,Health Care: Insurance and Managed Care,2024,8,371622.0,22381.0,273720.0,"440,000"
Berkshire Hathaway,U.S.,Insurance: Property and Casualty (Stock),2024,9,364482.0,96223.0,1069978.0,"396,500"
CVS Health,U.S.,Health Care: Pharmacy and Other Services,2024,10,357776.0,8344.0,249728.0,"259,500"
Volkswagen,Germany,Motor Vehicles & Parts,2024,11,348408.1,17944.5,663063.8,"684,025"
Exxon Mobil,U.S.,Petroleum Refining,2024,12,344582.0,36010.0,376317.0,"61,500"
Shell,Britain,Petroleum Refining,2024,13,323183.0,19359.0,406270.0,"103,000"
China State Construction Engineering,China,Engineering & Construction,2024,14,320430.5,4371.5,410143.8,"382,894"
Toyota Motor,Japan,Motor Vehicles & Parts,2024,15,312018.2,34214.4,595915.2,"380,793"
McKesson,U.S.,Wholesalers: Health Care,2024,16,308951.0,3002.0,67443.0,"48,000"
Alphabet,U.S.,Internet Services and Retailing,2024,17,307394.0,73795.0,402392.0,"182,502"
Cencora,U.S.,Wholesalers: Health Care,2024,18,262173.4,1745.3,62558.8,"44,000"
Trafigura Group,Singapore,Trading,2024,19,244280.2,7393.2,83382.5,"12,479"
Costco Wholesale,U.S.,General Merchandisers,2024,20,242290.0,6292.0,68994.0,"316,000"
JPMorgan Chase,U.S.,Banks: Commercial and Savings,2024,21,239425.0,49552.0,3875393.0,"309,926"
Industrial & Commercial Bank of China,China,Banks: Commercial and Savings,2024,22,222484.2,51417.0,6297314.5,"419,252"
TotalEnergies,France,Petroleum Refining,2024,23,218945.0,21384.0,283654.0,"102,579"
Glencore,Switzerland,"Mining, Crude-Oil Production",2024,24,217829.0,4280.0,123869.0,"83,426"
BP,Britain,Petroleum Refining,2024,25,213032.0,15239.0,280294.0,"79,400"
Microsoft,U.S.,Computer Software,2024,26,211915.0,72361.0,411976.0,"221,000"
Cardinal Health,U.S.,Wholesalers: Health Care,2024,27,205012.0,261.0,43417.0,"47,520"
Stellantis,Netherlands,Motor Vehicles & Parts,2024,28,204908.3,20103.4,223247.2,"258,275"
Chevron,U.S.,Petroleum Refining,2024,29,200949.0,21369.0,261632.0,"45,600"
China Construction Bank,China,Banks: Commercial and Savings,2024,30,199826.1,46990.0,5399535.9,"376,871"
Samsung Electronics,South Korea,"Electronics, Electrical Equip.",2024,31,198256.7,11081.7,351936.8,"267,860"
Hon Hai Precision Industry,Taiwan,"Electronics, Electrical Equip.",2024,32,197876.0,4562.9,128549.6,"621,393"
Cigna,U.S.,Health Care: Pharmacy and Other Services,2024,33,195265.0,5164.0,152761.0,"71,413"
Agricultural Bank of China,China,Banks: Commercial and Savings,2024,34,192398.3,38048.7,5617654.6,"451,003"
China Railway Engineering Group,China,Engineering & Construction,2024,35,178562.9,2152.5,258817.8,"314,149"
Ford Motor,U.S.,Motor Vehicles & Parts,2024,36,176191.0,4347.0,273310.0,"177,000"
Bank of China,China,Banks: Commercial and Savings,2024,37,172327.6,32758.3,4569326.6,"306,931"
Bank of America,U.S.,Banks: Commercial and Savings,2024,38,171912.0,26515.0,3180151.0,"212,985"
General Motors,U.S.,Motor Vehicles & Parts,2024,39,171842.0,10127.0,273064.0,"163,000"
Elevance Health,U.S.,Health Care: Insurance and Managed Care,2024,40,171340.0,5987.0,108928.0,"104,900"
BMW Group,Germany,Motor Vehicles & Parts,2024,41,168102.6,12205.2,277104.0,"154,950"
Mercedes-Benz Group,Germany,Motor Vehicles & Parts,2024,42,165637.8,15417.0,290503.6,"166,056"
